experiment,instance,algorithm,n_runs,pareto_combined,pareto_mean,pareto_std,HV_mean,HV_std,IGDplus_mean,IGDplus_std,runtime_s_mean,runtime_s_std,igd_ref
Exp1-Benchmark,AP10,BB-Exact,1,4,5.0,0.0,1.159773,0.000000,0.035758,0.000000,0.03,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP10,PB-NSGA-II,4,2,3.2,1.5,1.197776,0.016364,0.013605,0.020008,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP20,BB-Exact,1,4,5.0,0.0,0.334069,0.000000,0.688908,0.000000,0.11,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP20,PB-NSGA-II,4,7,5.5,0.6,1.126878,0.084672,0.043600,0.073406,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP25,BB-Exact,1,6,17.0,0.0,1.096044,0.000000,0.098342,0.000000,0.34,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP25,PB-NSGA-II,4,7,5.2,2.1,1.099313,0.069868,0.088055,0.058741,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP40,BB-Exact,1,4,4.0,0.0,1.177562,0.000000,0.014194,0.000000,4.04,0.00,BB+PB-NSGA combined
Exp1-Benchmark,AP40,PB-NSGA-II,4,8,4.0,1.2,1.168244,0.016360,0.021405,0.005351,N/A,N/A,BB+PB-NSGA combined
Exp1-Benchmark,AP50,PB-NSGA-II,4,12,11.2,4.5,0.888044,0.076378,0.116599,0.101345,N/A,N/A,PB-NSGA-II combined
Exp1-Benchmark,AP100,PB-NSGA-II,4,11,10.8,2.5,0.952291,0.081731,0.075745,0.052545,N/A,N/A,PB-NSGA-II combined
Exp1-Benchmark,TR81,BB-Exact,1,12,14.0,0.0,1.171047,0.000000,0.025263,0.000000,177.95,0.00,BB+PB-NSGA combined
Exp1-Benchmark,TR81,PB-NSGA-II,4,18,12.0,4.9,0.890710,0.580652,0.333498,0.636022,N/A,N/A,BB+PB-NSGA combined
